CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Balance_Salary_Ratio,Product_Density,Active_Product_Interaction,Age_Tenure_Interaction,Exited
585,France,Male,36,7,0.0,2,1,0,94283.09,0.0,0.25,0,252,0
525,Germany,Male,33,4,131023.76,2,0,0,55072.93,2.379095500751622,0.4,0,132,0
557,Spain,Female,40,4,0.0,2,0,1,105433.53,0.0,0.4,2,160,0
639,Spain,Male,34,5,139393.19,2,0,0,33950.08,4.105828026294539,0.3333333333333333,0,170,0
640,Spain,Female,34,3,77826.8,1,1,1,168544.85,0.46175721177705775,0.25,1,102,0
559,Spain,Male,34,0,0.0,1,1,0,182988.94,0.0,1.0,0,0,0
595,Germany,Male,30,9,130682.11,2,1,1,57862.88,2.2584791835009805,0.2,2,270,0
706,Germany,Female,29,6,185544.36,1,1,0,171037.63,1.0848160138160932,0.14285714285714285,0,174,0
505,France,Male,49,7,80001.23,1,0,0,135180.11,0.5918121385911129,0.125,0,343,0
714,France,Female,40,0,0.0,2,1,0,62762.12,0.0,2.0,0,0,0
